,borough,neighbourhood,lat,lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,2,Gym,Coffee Shop,Seafood Restaurant,Tennis Stadium,Big Box Store,Supplement Shop,Steakhouse,Miscellaneous Shop,Shopping Mall,Yoga Studio
1,Manhattan,Chinatown,40.71561842231432,-73.99427936255978,4,Chinese Restaurant,Cocktail Bar,Bakery,Ice Cream Shop,Dessert Shop,Spa,Bubble Tea Shop,American Restaurant,Optical Shop,Vietnamese Restaurant
2,Manhattan,Washington Heights,40.85190252555305,-73.93690027985234,4,Café,Bakery,Deli / Bodega,Chinese Restaurant,Mobile Phone Shop,Grocery Store,Tapas Restaurant,Coffee Shop,Spanish Restaurant,Park
3,Manhattan,Inwood,40.86768396449915,-73.92121042203897,4,Mexican Restaurant,Lounge,Café,Restaurant,Caribbean Restaurant,Deli / Bodega,Pizza Place,Wine Bar,American Restaurant,Park
4,Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,4,Pizza Place,Coffee Shop,Café,Deli / Bodega,Mexican Restaurant,Yoga Studio,Bakery,Cocktail Bar,Sandwich Place,School
5,Manhattan,Manhattanville,40.8169344294978,-73.9573853935188,1,Coffee Shop,Sushi Restaurant,Italian Restaurant,Bakery,Seafood Restaurant,Mexican Restaurant,Bar,Boutique,Gym / Fitness Center,Bike Trail
6,Manhattan,Central Harlem,40.81597606742414,-73.94321112603905,4,African Restaurant,Seafood Restaurant,American Restaurant,Bar,Cosmetics Shop,French Restaurant,Chinese Restaurant,Indie Theater,Library,Bookstore
7,Manhattan,East Harlem,40.79224946663033,-73.94418223148524,4,Mexican Restaurant,Bakery,Thai Restaurant,Sandwich Place,Deli / Bodega,Latin American Restaurant,New American Restaurant,Beer Bar,Gas Station,Liquor Store
8,Manhattan,Upper East Side,40.775638573301805,-73.96050763135,1,Italian Restaurant,Bakery,Coffee Shop,Pizza Place,Gym / Fitness Center,Yoga Studio,Spa,French Restaurant,Juice Bar,American Restaurant
9,Manhattan,Yorkville,40.775929849884875,-73.94711784471826,1,Italian Restaurant,Gym,Coffee Shop,Bar,Pizza Place,Sushi Restaurant,Deli / Bodega,Mexican Restaurant,Wine Shop,Japanese Restaurant
10,Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,1,Coffee Shop,Italian Restaurant,Sushi Restaurant,Café,Cocktail Bar,Pizza Place,Burger Joint,Gym / Fitness Center,Gym,Deli / Bodega
11,Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953,0,Park,Scenic Lookout,Greek Restaurant,Dry Cleaner,Outdoors & Recreation,Coffee Shop,Soccer Field,Liquor Store,Sandwich Place,Food & Drink Shop
12,Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,1,Italian Restaurant,Wine Bar,Coffee Shop,Bar,Mediterranean Restaurant,Dessert Shop,Bakery,Vegetarian / Vegan Restaurant,Pub,Indian Restaurant
13,Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262,0,Plaza,Gym / Fitness Center,Café,Concert Hall,Performing Arts Venue,Italian Restaurant,Theater,Wine Shop,American Restaurant,Food Truck
14,Manhattan,Clinton,40.75910089146212,-73.99611936309479,1,Italian Restaurant,Theater,Gym / Fitness Center,Coffee Shop,American Restaurant,Wine Shop,Sandwich Place,Hotel,Gym,Cocktail Bar
15,Manhattan,Midtown,40.75469110270623,-73.98166882730304,1,Coffee Shop,Clothing Store,Hotel,Theater,Bakery,Pizza Place,Bookstore,Sporting Goods Shop,Steakhouse,Café
16,Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,1,Sandwich Place,Coffee Shop,Japanese Restaurant,Burger Joint,Hotel,Mediterranean Restaurant,Pizza Place,Gym / Fitness Center,Spa,Chinese Restaurant
17,Manhattan,Chelsea,40.744034706747975,-74.00311633472813,1,Coffee Shop,Art Gallery,Bakery,French Restaurant,Italian Restaurant,American Restaurant,Seafood Restaurant,Pizza Place,Hotel,Bar
